Disease,Category,Symptoms,Vaccine_Available,Vaccine_Name,Reason
Hepatitis C,Disease,chills; malaise; weight loss; fatigue; fever,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Lyme Disease,Disease,night sweats; fever; chills; fatigue,No,,Previous vaccine withdrawn due to safety concerns and low demand
Epstein-Barr Virus,Virus,dizziness; memory loss; headache; weight loss; fatigue,No,,"Causes lifelong infection, vaccine development challenging"
Chronic Obstructive Pulmonary Disease,Disorder,fever; night sweats; malaise; weight loss,No,,Vaccine development not prioritized
Bipolar Disorder,Disorder,fever; chills; malaise; night sweats,No,,Mental health condition
Borrelia burgdorferi,Bacteria,swelling; night sweats; muscle pain,No,,Previous vaccine withdrawn due to concerns
Measles,Disease,malaise; weight loss; chills; night sweats,Yes,MMR Vaccine,
Zika Virus,Virus,headache; dizziness; confusion; chills,No,,Ongoing research with no approved vaccine yet due to multiple strains
Multiple Sclerosis,Disorder,fever; malaise; fatigue; night sweats; weight loss,No,,Autoimmune neurological disease
Smallpox,Disease,chills; malaise; night sweats; fatigue; fever,No,,Vaccine development not prioritized
Adenovirus,Virus,fatigue; seizures; weight loss; numbness; fatigue,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Vibrio cholerae,Bacteria,swelling; muscle pain; back pain,Yes,Cholera Vaccine,
Tularemia,Disease,night sweats; fatigue; malaise; weight loss; fever,No,,Vaccine development not prioritized
Zika Virus,Virus,fatigue; fever; malaise; weight loss; confusion,No,,Ongoing research with no approved vaccine yet due to multiple strains
Swine Flu,Disease,shortness of breath; chest pain; sore throat; fatigue,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Pneumonia,Disease,sore throat; shortness of breath; wheezing; cough; fatigue; chest pain,Yes,Pneumococcal Vaccine,
Cholera,Disease,nausea; abdominal pain; bloating,Yes,Cholera Vaccine,
Smallpox,Disease,weight loss; fatigue; malaise; night sweats,No,,Vaccine development not prioritized
Rhinovirus,Virus,fatigue; malaise; fever; headache; numbness,No,,Over 100 serotypes make vaccine impractical
Human Papillomavirus,Virus,blisters; rash; dry skin,Yes,HPV Vaccine,
Arthritis,Disorder,weakness; back pain; joint pain; stiffness; muscle pain,No,,Autoimmune and degenerative joint condition
Treponema pallidum,Bacteria,stiffness; malaise; night sweats,No,,Complex immune evasion mechanisms
Tularemia,Disease,fatigue; fever; chills; weight loss; night sweats; malaise,No,,Vaccine development not prioritized
Herpes Simplex Virus,Virus,rash; redness; dry skin; itching,No,,Vaccine development not prioritized
Avian Flu,Disease,wheezing; sore throat; shortness of breath; runny nose; fever; chest pain,No,,Rapid mutation and limited human transmission
Parainfluenza Virus,Virus,confusion; seizures; weight loss; dizziness,No,,Vaccine development not prioritized
Influenza,Disease,sore throat; shortness of breath; cough,Yes,Influenza Vaccine,
Osteoporosis,Disorder,fever; fatigue; weight loss; night sweats,No,,Bone density disorder from aging and lifestyle
Francisella tularensis,Bacteria,night sweats; stiffness; chills; fatigue; joint pain,No,,Rare bacterial infection
Bronchitis,Disease,weight loss; chills; night sweats; malaise; fatigue,No,,Vaccine development not prioritized
Post-Traumatic Stress Disorder,Disorder,fever; chills; fatigue,No,,Vaccine development not prioritized
Clostridium difficile,Bacteria,swelling; joint pain; malaise; weakness; weight loss,No,,Bacterial toxin-mediated disease
Plague,Disease,chills; night sweats; malaise,No,,Vaccine development not prioritized
Influenza Viruses,Virus,memory loss; weight loss; headache; fatigue; night sweats; dizziness,No,,Vaccine development not prioritized
Hepatitis A,Disease,malaise; fever; night sweats,Yes,Hepatitis A Vaccine,
Treponema pallidum,Bacteria,fever; fatigue; joint pain; back pain,No,,Complex immune evasion mechanisms
Botulism,Disease,night sweats; fever; malaise; fatigue,No,,Vaccine development not prioritized
West Nile Virus,Disease,night sweats; fever; fatigue; malaise; chills; weight loss,No,,Limited human cases and complex transmission cycle
Alzheimer's Disease,Disorder,chills; fever; fatigue; weight loss; malaise,No,,Neurodegenerative disease with complex causes
Bacillus anthracis,Bacteria,joint pain; night sweats; swelling; malaise; stiffness; weight loss,Yes,Anthrax Vaccine,
Parainfluenza Virus,Virus,dizziness; weight loss; confusion,No,,Vaccine development not prioritized
Sleep Disorders,Disorder,weight loss; chills; fever; night sweats; malaise; fatigue,No,,Various causes including lifestyle and medical conditions
Mycobacterium leprae,Bacteria,weakness; stiffness; malaise; swelling; fever; fatigue,No,,Limited global incidence
Malaria,Disease,weight loss; fever; night sweats,No,,Complex parasite lifecycle and multiple strains
Escherichia coli,Bacteria,swelling; weakness; back pain; chills; fever,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Acinetobacter baumannii,Bacteria,chills; joint pain; back pain,No,,Hospital-acquired infection with multiple strains
Arthritis,Disorder,swelling; back pain; weakness; joint pain; stiffness,No,,Autoimmune and degenerative joint condition
Dengue Virus,Virus,weight loss; malaise; numbness; memory loss; seizures,No,,Vaccine development not prioritized
Neisseria meningitidis,Bacteria,weight loss; chills; back pain; fatigue; malaise,Yes,Meningococcal Vaccine,
Avian Flu,Disease,sore throat; chest pain; runny nose; cough; fever; shortness of breath,No,,Rapid mutation and limited human transmission
Influenza Viruses,Virus,fever; malaise; headache; weight loss; dizziness; memory loss,No,,Vaccine development not prioritized
Influenza,Disease,cough; chest pain; fever; fatigue; runny nose,Yes,Influenza Vaccine,
Measles,Disease,chills; weight loss; fatigue; night sweats,Yes,MMR Vaccine,
Arthritis,Disorder,muscle pain; weakness; stiffness; swelling; back pain; joint pain,No,,Autoimmune and degenerative joint condition
Clostridium difficile,Bacteria,malaise; weakness; muscle pain; night sweats,No,,Bacterial toxin-mediated disease
Sleep Disorders,Disorder,malaise; weight loss; fever; night sweats; chills,No,,Various causes including lifestyle and medical conditions
Hypertension,Disorder,fever; fatigue; night sweats; malaise,No,,"Lifestyle and genetic factors, not infectious"
Swine Flu,Disease,wheezing; chest pain; cough,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
West Nile Virus,Disease,fever; fatigue; weight loss; chills,No,,Limited human cases and complex transmission cycle
Chronic Obstructive Pulmonary Disease,Disorder,weight loss; night sweats; chills; malaise,No,,Vaccine development not prioritized
Tick-Borne Encephalitis Virus,Virus,tingling; weight loss; seizures,No,,Vaccine development not prioritized
Thyroid Disorders,Disorder,malaise; weight loss; fever; night sweats,No,,Endocrine disorders from various causes
Autism Spectrum Disorder,Disorder,malaise; chills; weight loss; fever; night sweats,No,,Vaccine development not prioritized
Botulism,Disease,fatigue; weight loss; fever; night sweats; malaise; chills,No,,Vaccine development not prioritized
Osteoporosis,Disorder,fatigue; malaise; night sweats; fever; chills,No,,Bone density disorder from aging and lifestyle
Clostridium botulinum,Bacteria,weakness; chills; stiffness; swelling,No,,"Toxin-mediated disease, limited cases"
Thyroid Disorders,Disorder,fever; fatigue; chills,No,,Endocrine disorders from various causes
Depression,Disorder,fatigue; malaise; fever; chills; night sweats; weight loss,No,,Mental health condition with multiple causes
Thyroid Disorders,Disorder,chills; fatigue; malaise; weight loss; fever,No,,Endocrine disorders from various causes
Ebola,Disease,night sweats; weight loss; fatigue; fever; malaise,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Chickenpox,Disease,fever; weight loss; chills; malaise; fatigue; night sweats,Yes,Varicella Vaccine,
Migraine,Disorder,fever; fatigue; malaise; weight loss,No,,Neurological headache disorder
Avian Flu,Disease,sore throat; fatigue; chest pain,No,,Rapid mutation and limited human transmission
Acinetobacter baumannii,Bacteria,weight loss; fever; night sweats; weakness,No,,Hospital-acquired infection with multiple strains
Pseudomonas aeruginosa,Bacteria,chills; fatigue; weight loss; weakness,No,,Opportunistic pathogen in immunocompromised patients
Asthma,Disorder,night sweats; fatigue; malaise; chills,No,,"Allergic inflammatory condition, not infectious"
Coronary Artery Disease,Disorder,fatigue; night sweats; fever,No,,Cardiovascular disease from multiple risk factors
Enterococcus faecalis,Bacteria,chills; stiffness; joint pain; weakness,No,,Common hospital-acquired infection
Diphtheria,Disease,fatigue; chills; malaise,Yes,Tdap Vaccine,
Mycobacterium leprae,Bacteria,night sweats; chills; back pain; joint pain; fatigue; malaise,No,,Limited global incidence
Anxiety,Disorder,malaise; chills; night sweats; weight loss; fatigue; fever,No,,Mental health disorder
Tetanus,Disease,fever; night sweats; weight loss; fatigue; chills,Yes,Tdap Vaccine,
Arthritis,Disorder,back pain; swelling; weakness,No,,Autoimmune and degenerative joint condition
Eating Disorders,Disorder,night sweats; chills; malaise; fatigue,No,,Mental health and behavioral disorders
Chronic Obstructive Pulmonary Disease,Disorder,fever; fatigue; night sweats,No,,Vaccine development not prioritized
Klebsiella pneumoniae,Bacteria,wheezing; cough; fever,No,,Antibiotic-resistant hospital pathogen
Legionella pneumophila,Bacteria,swelling; weakness; stiffness; night sweats; joint pain,No,,Environmental bacterium with limited human cases
Haemophilus influenzae,Bacteria,chills; weakness; joint pain,Yes,Hib Vaccine,
Influenza Viruses,Virus,fever; chills; fatigue; memory loss,No,,Vaccine development not prioritized
Swine Flu,Disease,shortness of breath; wheezing; sore throat; fever; cough,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Rabies,Disease,fever; night sweats; malaise; fatigue; weight loss,Yes,Rabies Vaccine,
Epilepsy,Disorder,night sweats; chills; fatigue; weight loss; malaise,No,,Neurological disorder from various causes
Rubella,Disease,malaise; fatigue; night sweats,Yes,MMR Vaccine,
SARS,Disease,fatigue; weight loss; fever; night sweats; malaise; chills,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Ebola,Disease,night sweats; fever; weight loss,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Typhoid,Disease,bloating; nausea; diarrhea; constipation; loss of appetite,Yes,Typhoid Vaccine,
Hepatitis B,Disease,weight loss; fatigue; fever,Yes,Hepatitis B Vaccine,
Enterococcus faecalis,Bacteria,muscle pain; weakness; stiffness,No,,Common hospital-acquired infection
Chickenpox,Disease,fever; chills; night sweats; malaise; fatigue; weight loss,Yes,Varicella Vaccine,
Coronary Artery Disease,Disorder,weight loss; fever; fatigue,No,,Cardiovascular disease from multiple risk factors
Parkinson's Disease,Disorder,night sweats; chills; fatigue; malaise,No,,Progressive neurological disorder
Sleep Disorders,Disorder,night sweats; chills; malaise; fatigue; weight loss,No,,Various causes including lifestyle and medical conditions
Epilepsy,Disorder,fatigue; malaise; chills,No,,Neurological disorder from various causes
Zika Virus,Disease,fever; fatigue; malaise,No,,Ongoing research with no approved vaccine yet due to multiple strains
Influenza Viruses,Virus,confusion; tingling; seizures; headache; fever,No,,Vaccine development not prioritized
West Nile Virus,Virus,fatigue; night sweats; chills; weight loss,No,,Limited human cases and complex transmission cycle
Yersinia pestis,Bacteria,chills; muscle pain; fever; malaise; night sweats; weight loss,No,,Rare disease with limited research
Enterococcus faecalis,Bacteria,swelling; stiffness; fatigue; chills,No,,Common hospital-acquired infection
Migraine,Disorder,fatigue; weight loss; night sweats; chills,No,,Neurological headache disorder
Chikungunya Virus,Virus,fever; numbness; confusion; fatigue; headache,No,,Vaccine development not prioritized
Depression,Disorder,fatigue; chills; malaise; weight loss; night sweats; fever,No,,Mental health condition with multiple causes
Enterococcus faecalis,Bacteria,night sweats; muscle pain; fever; stiffness; swelling; joint pain,No,,Common hospital-acquired infection
COVID-19,Disease,fever; night sweats; weight loss; malaise,Yes,COVID-19 Vaccine,
Attention Deficit Hyperactivity Disorder,Disorder,chills; malaise; night sweats,No,,Vaccine development not prioritized
Tuberculosis,Disease,fever; chills; night sweats; fatigue,Yes,BCG Vaccine,
Monkeypox,Disease,malaise; fatigue; weight loss; fever; night sweats; chills,No,,Vaccine development not prioritized
Tularemia,Disease,weight loss; malaise; fatigue; chills; fever,No,,Vaccine development not prioritized
Ebola,Disease,malaise; weight loss; fatigue; chills; fever; night sweats,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Rabies,Disease,malaise; fever; weight loss,Yes,Rabies Vaccine,
Neisseria gonorrhoeae,Bacteria,back pain; muscle pain; joint pain,No,,Rapid antibiotic resistance and immune evasion
Hepatitis Viruses,Virus,night sweats; chills; dizziness; malaise,No,,Vaccine development not prioritized
Monkeypox,Disease,night sweats; fever; weight loss; malaise; chills,No,,Vaccine development not prioritized
Yersinia pestis,Bacteria,swelling; fever; fatigue; night sweats; muscle pain,No,,Rare disease with limited research
Rubella,Disease,fatigue; night sweats; weight loss; fever,Yes,MMR Vaccine,
Chikungunya Virus,Virus,confusion; fatigue; numbness,No,,Vaccine development not prioritized
Bronchitis,Disease,night sweats; fatigue; chills; fever; weight loss,No,,Vaccine development not prioritized
Migraine,Disorder,malaise; fever; weight loss; chills,No,,Neurological headache disorder
Tuberculosis,Disease,chills; weight loss; night sweats; fatigue; malaise; fever,Yes,BCG Vaccine,
Haemophilus influenzae,Bacteria,weakness; swelling; malaise,Yes,Hib Vaccine,
Norovirus,Virus,confusion; numbness; malaise; night sweats; weight loss; fever,No,,Rapidly evolving virus with many strains
Acinetobacter baumannii,Bacteria,night sweats; stiffness; malaise,No,,Hospital-acquired infection with multiple strains
COVID-19,Disease,fever; weight loss; fatigue; chills; night sweats,Yes,COVID-19 Vaccine,
Swine Flu,Disease,wheezing; fatigue; fever,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Streptococcus pneumoniae,Bacteria,fever; cough; wheezing; fatigue; sore throat,Yes,Pneumococcal Vaccine,
Plague,Disease,night sweats; weight loss; fever,No,,Vaccine development not prioritized
Campylobacter,Bacteria,weight loss; night sweats; chills; weakness; malaise; back pain,No,,Complex bacterial structure
Zika Virus,Virus,seizures; fatigue; night sweats; numbness; dizziness; fatigue,No,,Ongoing research with no approved vaccine yet due to multiple strains
West Nile Virus,Virus,malaise; chills; seizures; memory loss; fever; dizziness,No,,Limited human cases and complex transmission cycle
SARS,Disease,fever; chills; weight loss; night sweats; malaise; fatigue,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Human Immunodeficiency Virus,Virus,weight loss; dizziness; memory loss; night sweats; malaise,No,,Vaccine development not prioritized
Adrenal Disorders,Disorder,weight loss; fever; malaise; night sweats,No,,Endocrine disorders
Hypertension,Disorder,fever; malaise; weight loss; night sweats; fatigue; chills,No,,"Lifestyle and genetic factors, not infectious"
Epilepsy,Disorder,weight loss; malaise; fever; chills; night sweats; fatigue,No,,Neurological disorder from various causes
Avian Flu,Disease,runny nose; fatigue; sore throat,No,,Rapid mutation and limited human transmission
COVID-19,Disease,malaise; chills; fever; fatigue,Yes,COVID-19 Vaccine,
Zika Virus,Disease,malaise; fever; night sweats; chills; weight loss; fatigue,No,,Ongoing research with no approved vaccine yet due to multiple strains
Pituitary Disorders,Disorder,night sweats; chills; fatigue; fever; malaise; weight loss,No,,Endocrine disorders
Avian Flu,Disease,shortness of breath; fever; cough; fatigue; runny nose; chest pain,No,,Rapid mutation and limited human transmission
Lyme Disease,Disease,weight loss; night sweats; fatigue; malaise; chills; fever,No,,Previous vaccine withdrawn due to safety concerns and low demand
Meningitis,Disease,weight loss; fatigue; chills; night sweats; malaise; fever,Yes,Meningococcal Vaccine,
Cholera,Disease,bloating; abdominal pain; constipation; nausea; vomiting; loss of appetite,Yes,Cholera Vaccine,
Klebsiella pneumoniae,Bacteria,fatigue; sore throat; chest pain,No,,Antibiotic-resistant hospital pathogen
Monkeypox,Disease,chills; fatigue; fever; weight loss,No,,Vaccine development not prioritized
Arthritis,Disorder,joint pain; stiffness; back pain,No,,Autoimmune and degenerative joint condition
Arthritis,Disorder,weakness; muscle pain; joint pain; swelling; back pain,No,,Autoimmune and degenerative joint condition
Herpes Simplex Virus,Virus,itching; hair loss; blisters; rash; dry skin,No,,Vaccine development not prioritized
Norovirus,Virus,memory loss; seizures; weight loss,No,,Rapidly evolving virus with many strains
Anthrax,Disease,fatigue; chills; night sweats; fever; malaise; weight loss,No,,Vaccine development not prioritized
Botulism,Disease,night sweats; fatigue; chills; fever; weight loss; malaise,No,,Vaccine development not prioritized
Parainfluenza Virus,Virus,fatigue; memory loss; malaise; seizures; fever; night sweats,No,,Vaccine development not prioritized
Human Immunodeficiency Virus,Virus,weight loss; fatigue; dizziness; fatigue; memory loss; tingling,No,,Vaccine development not prioritized
Borrelia burgdorferi,Bacteria,malaise; weight loss; fatigue,No,,Previous vaccine withdrawn due to concerns
Bronchitis,Disease,fatigue; chills; malaise,No,,Vaccine development not prioritized
Eating Disorders,Disorder,fatigue; night sweats; fever; malaise; weight loss; chills,No,,Mental health and behavioral disorders
Vibrio cholerae,Bacteria,weight loss; back pain; weakness; fever; malaise; night sweats,Yes,Cholera Vaccine,
Diabetes Mellitus,Disorder,chills; malaise; fatigue; night sweats; weight loss; fever,No,,Vaccine development not prioritized
Coronary Artery Disease,Disorder,fatigue; malaise; fever,No,,Cardiovascular disease from multiple risk factors
Stroke,Disorder,fever; malaise; weight loss; chills; night sweats; fatigue,No,,"Caused by various risk factors, not a single pathogen"
Pneumonia,Disease,chest pain; fatigue; runny nose; shortness of breath; wheezing; sore throat,Yes,Pneumococcal Vaccine,
Pneumonia,Disease,runny nose; shortness of breath; chest pain; wheezing,Yes,Pneumococcal Vaccine,
Migraine,Disorder,night sweats; fatigue; malaise; fever,No,,Neurological headache disorder
Parkinson's Disease,Disorder,weight loss; night sweats; fatigue; fever; chills,No,,Progressive neurological disorder
Escherichia coli,Bacteria,weight loss; muscle pain; back pain; chills; fatigue,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Yersinia pestis,Bacteria,stiffness; swelling; muscle pain,No,,Rare disease with limited research
Asthma,Disorder,malaise; fatigue; weight loss; chills; fever,No,,"Allergic inflammatory condition, not infectious"
Rhinovirus,Virus,headache; weight loss; dizziness; memory loss,No,,Over 100 serotypes make vaccine impractical
Tuberculosis,Disease,weight loss; malaise; fever; night sweats,Yes,BCG Vaccine,
Avian Flu,Disease,fatigue; shortness of breath; sore throat; wheezing; fever,No,,Rapid mutation and limited human transmission
Cholera,Disease,vomiting; nausea; bloating; loss of appetite,Yes,Cholera Vaccine,
Shingles,Disease,night sweats; fever; weight loss,No,,Vaccine development not prioritized
Osteoporosis,Disorder,malaise; weight loss; night sweats; fever,No,,Bone density disorder from aging and lifestyle
Arthritis,Disorder,stiffness; back pain; swelling; joint pain,No,,Autoimmune and degenerative joint condition
Francisella tularensis,Bacteria,malaise; chills; swelling,No,,Rare bacterial infection
Marburg,Disease,fatigue; chills; malaise,No,,Vaccine development not prioritized
Attention Deficit Hyperactivity Disorder,Disorder,weight loss; malaise; chills; fatigue; fever,No,,Vaccine development not prioritized
Bacillus anthracis,Bacteria,weight loss; stiffness; joint pain; night sweats; fever,Yes,Anthrax Vaccine,
West Nile Virus,Virus,confusion; numbness; headache,No,,Limited human cases and complex transmission cycle
Smallpox,Disease,chills; night sweats; fever,No,,Vaccine development not prioritized
Treponema pallidum,Bacteria,back pain; weight loss; night sweats; malaise; weakness,No,,Complex immune evasion mechanisms
Herpes Simplex Virus,Virus,redness; blisters; hair loss; itching; dry skin,No,,Vaccine development not prioritized
Post-Traumatic Stress Disorder,Disorder,malaise; chills; fever; fatigue; weight loss,No,,Vaccine development not prioritized
Zika Virus,Virus,headache; fatigue; seizures; night sweats; numbness; memory loss,No,,Ongoing research with no approved vaccine yet due to multiple strains
Multiple Sclerosis,Disorder,weight loss; chills; fever; night sweats; fatigue,No,,Autoimmune neurological disease
Multiple Sclerosis,Disorder,fatigue; weight loss; fever; night sweats; malaise; chills,No,,Autoimmune neurological disease
Chickenpox,Disease,fatigue; malaise; chills; fever; night sweats,Yes,Varicella Vaccine,
Anthrax,Disease,fever; night sweats; fatigue; chills; malaise,No,,Vaccine development not prioritized
Tick-Borne Encephalitis Virus,Virus,memory loss; headache; night sweats; weight loss; confusion,No,,Vaccine development not prioritized
Eating Disorders,Disorder,night sweats; fever; weight loss,No,,Mental health and behavioral disorders
MERS,Disease,night sweats; chills; malaise,No,,Limited outbreaks and research funding constraints
Shingles,Disease,night sweats; weight loss; chills; fatigue; malaise,No,,Vaccine development not prioritized
Borrelia burgdorferi,Bacteria,fever; weakness; stiffness,No,,Previous vaccine withdrawn due to concerns
Meningitis,Disease,weight loss; malaise; fever; chills; night sweats; fatigue,Yes,Meningococcal Vaccine,
Rhinovirus,Virus,night sweats; memory loss; seizures,No,,Over 100 serotypes make vaccine impractical
Human Immunodeficiency Virus,Virus,memory loss; seizures; malaise; headache; numbness,No,,Vaccine development not prioritized
Bipolar Disorder,Disorder,fever; malaise; weight loss; chills,No,,Mental health condition
Rotavirus,Virus,headache; weight loss; confusion; seizures; chills,Yes,Rotavirus Vaccine,
Tularemia,Disease,malaise; fever; chills; night sweats; fatigue,No,,Vaccine development not prioritized
Marburg,Disease,night sweats; fatigue; fever; weight loss; malaise; chills,No,,Vaccine development not prioritized
Herpes Simplex Virus,Virus,hair loss; dry skin; rash; blisters,No,,Vaccine development not prioritized
Typhoid,Disease,loss of appetite; constipation; nausea; vomiting,Yes,Typhoid Vaccine,
Rhinovirus,Virus,fever; dizziness; chills; malaise; confusion; memory loss,No,,Over 100 serotypes make vaccine impractical
Diphtheria,Disease,chills; malaise; weight loss,Yes,Tdap Vaccine,
Pneumonia,Disease,fever; fatigue; chest pain; runny nose; shortness of breath; sore throat,Yes,Pneumococcal Vaccine,
Klebsiella pneumoniae,Bacteria,sore throat; cough; chest pain; fatigue; fever,No,,Antibiotic-resistant hospital pathogen
Botulism,Disease,night sweats; fever; chills; fatigue; weight loss,No,,Vaccine development not prioritized
Zika Virus,Virus,fatigue; weight loss; seizures; memory loss; fever; night sweats,No,,Ongoing research with no approved vaccine yet due to multiple strains
Typhoid,Disease,vomiting; nausea; abdominal pain; diarrhea,Yes,Typhoid Vaccine,
Mycobacterium leprae,Bacteria,chills; fatigue; stiffness; weakness; back pain; muscle pain,No,,Limited global incidence
Post-Traumatic Stress Disorder,Disorder,fatigue; malaise; night sweats; weight loss; fever; chills,No,,Vaccine development not prioritized
Influenza Viruses,Virus,fever; fatigue; malaise,No,,Vaccine development not prioritized
Salmonella,Bacteria,muscle pain; chills; swelling,Limited,Typhoid Vaccine,Limited to specific serotypes
Norovirus,Virus,numbness; headache; fatigue,No,,Rapidly evolving virus with many strains
SARS,Disease,weight loss; malaise; fatigue; night sweats; fever,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Shigella,Bacteria,weakness; malaise; stiffness,No,,Multiple serotypes and limited research
Bipolar Disorder,Disorder,night sweats; fatigue; malaise; chills,No,,Mental health condition
Dengue Virus,Virus,dizziness; seizures; malaise; fatigue; memory loss; tingling,No,,Vaccine development not prioritized
Pertussis,Disease,night sweats; chills; fatigue; fever; weight loss,Yes,Tdap Vaccine,
Post-Traumatic Stress Disorder,Disorder,weight loss; chills; fever; night sweats,No,,Vaccine development not prioritized
Chikungunya Virus,Virus,fatigue; headache; dizziness; malaise,No,,Vaccine development not prioritized
Hepatitis B,Disease,night sweats; fatigue; malaise; fever,Yes,Hepatitis B Vaccine,
Herpes Simplex Virus,Virus,hair loss; rash; dry skin,No,,Vaccine development not prioritized
Zika Virus,Virus,malaise; headache; numbness; memory loss; fatigue,No,,Ongoing research with no approved vaccine yet due to multiple strains
Anthrax,Disease,night sweats; fever; weight loss; chills; fatigue; malaise,No,,Vaccine development not prioritized
Campylobacter,Bacteria,swelling; joint pain; chills; weight loss; fever; muscle pain,No,,Complex bacterial structure
Chronic Obstructive Pulmonary Disease,Disorder,chills; fatigue; night sweats,No,,Vaccine development not prioritized
Typhoid,Disease,vomiting; constipation; abdominal pain; nausea; diarrhea; bloating,Yes,Typhoid Vaccine,
Shingles,Disease,fatigue; night sweats; weight loss,No,,Vaccine development not prioritized
Multiple Sclerosis,Disorder,chills; weight loss; night sweats; fatigue; fever,No,,Autoimmune neurological disease
Klebsiella pneumoniae,Bacteria,chest pain; shortness of breath; cough; wheezing; sore throat,No,,Antibiotic-resistant hospital pathogen
Parainfluenza Virus,Virus,numbness; fever; dizziness; memory loss; chills; weight loss,No,,Vaccine development not prioritized
Clostridium difficile,Bacteria,joint pain; muscle pain; chills,No,,Bacterial toxin-mediated disease
Cholera,Disease,diarrhea; constipation; loss of appetite; nausea,Yes,Cholera Vaccine,
Pseudomonas aeruginosa,Bacteria,stiffness; chills; fatigue; weakness,No,,Opportunistic pathogen in immunocompromised patients
