Disease Name,Category,Symptoms,Severity,Causes
Thrombocytopenia,Disease,"prolonged bleeding, easy bruising, fever, enlarged spleen, petechiae, nosebleeds",High,immune thrombocytopenia; drug-induced; infection; bone marrow disorders
Personality Disorders,Disorder,"maladaptive coping, impulsivity, identity problems, interpersonal difficulties, rigid personality traits, relationship instability, emotional dysregulation",Medium,childhood experiences; genetic factors; environmental influences; attachment issues
Ophthalmological Disorders,Disease,"eye redness, field defects, light sensitivity, vision problems, discharge, visual disturbances, eye pain",Low,refractive errors; degenerative diseases; infections; trauma
Cellulitis,Bacteria,"warmth, blisters, pain, swelling, red skin",Low,Staphylococcus aureus; Streptococcus species; skin breaks; insect bites
Mood Disorders,Disorder,"elevated mood, depressed mood, cognitive symptoms, sleep disturbances, anhedonia, appetite changes, mood instability",High,genetic factors; brain chemistry; stress; medical conditions; substance use
Pressure Ulcers,Disease,"pain, skin breakdown, odor, red skin, infection, drainage",Low,immobility; poor nutrition; moisture; friction; shear forces
Hodgkin's Lymphoma,Disease,"fever, fatigue, night sweats, enlarged lymph nodes",High,Reed-Sternberg cells; EBV association; genetic factors; immune suppression
Meniere's Disease,Disease,"vomiting, hearing loss, ear fullness, vertigo, tinnitus, nausea, balance problems",Medium,endolymphatic hydrops; genetic factors; viral infection; autoimmune response
Psoriasis,Disease,"bleeding, joint pain, silvery scales, red patches, itchy skin",Medium,immune system dysfunction; genetic factors; stress; infection; medication
Benign Prostatic Hyperplasia,Disease,"weak urine stream, frequent urination, nocturia, straining to urinate, incomplete emptying",Low,aging; hormonal changes; family history; obesity; sedentary lifestyle
Acute Pancreatitis,Disease,"vomiting, fever, jaundice, severe abdominal pain, nausea",High,gallstones; alcohol abuse; hypertriglyceridemia; medications; infection
Stroke,Disease,"difficulty walking, confusion, dizziness, sudden numbness, vision problems, trouble speaking",High,ischemic stroke; hemorrhagic stroke; atherosclerosis; hypertension; atrial fibrillation
Onchocerciasis,Parasite,"blindness, itching, skin rash, lymphadenopathy, vision loss, nodules, skin depigmentation",Medium,Onchocerca volvulus; blackfly bites; river blindness; endemic areas
Acoustic Neuroma,Disease,"headache, hoarseness, balance problems, tinnitus, difficulty swallowing, hearing loss",Medium,vestibular schwannoma; NF2 gene mutation; radiation exposure; unknown causes
Asbestosis,Disease,"chest pain, weight loss, fatigue, chronic cough, shortness of breath, finger clubbing, crackling sounds in lungs",High,asbestos fiber inhalation; occupational exposure; construction work; shipbuilding
Rheumatoid Arthritis,Disease,"fever, swelling, morning stiffness, joint pain, weight loss",Medium,autoimmune response; genetic factors; environmental triggers; hormonal factors
Surgical Site Infection,Disease,"abscess formation, redness, warmth, pain, swelling, drainage",Medium,skin flora contamination; poor surgical technique; immune suppression; diabetes
Arrhythmogenic Right Ventricular Cardiomyopathy,Disease,"ventricular arrhythmias, palpitations, syncope, sudden cardiac death",High,genetic mutations; desmosome protein defects; autosomal dominant inheritance
Dementia,Disease,"personality changes, disorientation, confusion, memory loss, difficulty with familiar tasks",Medium,Alzheimer's disease; vascular dementia; Lewy body dementia; frontotemporal dementia
Sinusitis,Disease,"headache, facial pain, fever, nasal congestion, fatigue",Low,viral infection; bacterial infection; allergic reaction; anatomical abnormalities
Ankylosing Spondylitis,Disease,"back pain, enthesitis, reduced spinal mobility, fatigue, stiffness, uveitis",Medium,genetic factors; HLA-B27 association; autoimmune response; environmental triggers
Hookworm Infection,Parasite,"protein deficiency, abdominal pain, edema, fatigue, anemia, diarrhea",Low,Ancylostoma duodenale; Necator americanus; skin penetration; contaminated soil
Duchenne Muscular Dystrophy,Disease,"difficulty walking, learning difficulties, calf muscle enlargement, frequent falls, delayed motor milestones, muscle weakness",High,genetic mutation; dystrophin gene; X-linked recessive inheritance
Syphilis,Bacteria,"hair loss, rash, chancre sore, fatigue",Medium,Treponema pallidum; sexual contact; congenital transmission
Hodgkin's Lymphoma,Disease,"fever, enlarged lymph nodes, night sweats, fatigue, weight loss, alcohol-induced pain",High,Reed-Sternberg cells; EBV association; genetic factors; immune suppression
Adjustment Disorders,Disorder,"depression, anxiety, emotional distress, acting out, behavioral changes, withdrawal, functional impairment",Low,stressful life events; major life changes; trauma; loss
Lyme Disease,Bacteria,"fatigue, joint pain, bull's-eye rash, headache, fever, muscle pain",Low,Borrelia burgdorferi; deer tick bites; outdoor activities
Bipolar Disorder,Disorder,"elevated mood, decreased need for sleep, depressed mood, mood swings",High,genetic factors; brain chemistry; stress; trauma; substance abuse
Multiple Sclerosis,Disease,"cognitive changes, bladder problems, vision problems, difficulty walking, numbness, fatigue",Medium,autoimmune response; genetic predisposition; environmental factors; viral infections
Marfan Syndrome,Disease,"long limbs, pectus excavatum, aortic aneurysm, lens dislocation, tall stature, scoliosis, flexible joints",Medium,genetic mutation; fibrillin-1 deficiency; autosomal dominant inheritance
Advanced Sleep Phase Disorder,Disorder,"evening sleepiness, early sleep onset, early wake time, morning insomnia",Low,genetic factors; circadian rhythm abnormalities; aging
Babesiosis,Parasite,"muscle pain, fatigue, headache, chills, fever, hemolytic anemia, sweating",Medium,Babesia parasites; tick bites; blood transfusion; congenital transmission
Alzheimer's Disease,Disease,"mood changes, difficulty with familiar tasks, difficulty communicating, memory loss, confusion, disorientation",Medium,genetic factors; age; family history; head trauma; cardiovascular disease
Communication Disorders,Disorder,"voice disorders, speech difficulties, fluency issues, language delays, articulation problems, communication problems, social communication deficits",Medium,genetic factors; neurological conditions; hearing problems; developmental factors
Heat Stroke,Disease,"confusion, high body temperature, loss of consciousness, rapid breathing, organ failure",High,prolonged heat exposure; dehydration; strenuous activity; inadequate acclimation
Lysosomal Storage Diseases,Disease,"developmental delay, vision/hearing loss, neurological deterioration, organomegaly",Medium,lysosomal enzyme deficiencies; genetic mutations; autosomal recessive inheritance
Hepatitis A,Virus,"fatigue, loss of appetite, joint pain, fever, abdominal pain, clay-colored stools, nausea, dark urine",Medium,Hepatitis A virus; contaminated food/water; close contact
Polycystic Ovary Syndrome,Disease,"dark skin patches, weight gain, irregular periods, excess hair growth",Medium,hormonal imbalance; insulin resistance; genetic factors; obesity
Rotavirus,Virus,"dehydration, fever, loss of appetite, severe diarrhea, vomiting",Medium,Rotavirus; fecal-oral transmission; contaminated surfaces
Fascioliasis,Parasite,"vomiting, liver enlargement, nausea, abdominal pain, fever, fatigue, eosinophilia",Low,Fasciola hepatica; contaminated watercress; raw vegetables; zoonotic transmission
Trichuriasis,Parasite,"diarrhea, bloody stools, abdominal pain, rectal prolapse, nutritional deficiency, growth retardation, anemia",Medium,Trichuris trichiura; fecal-oral transmission; contaminated soil; poor sanitation
Jet Lag Disorder,Disorder,"mood changes, insomnia, daytime sleepiness, fatigue, cognitive impairment",Low,rapid travel across time zones; circadian rhythm disruption; sleep deprivation
Sleep-Related Hypoventilation Disorders,Disorder,"oxygen desaturation, elevated CO2 levels, daytime sleepiness, morning headaches, cognitive impairment, fatigue",High,obesity; neuromuscular disorders; chest wall abnormalities; lung diseases
Grief Reactions,Disorder,"sadness, guilt, depression, emotional pain, yearning, anxiety, anger",Medium,loss of loved one; significant life changes; traumatic events
Motor Disorders,Disorder,"motor skill difficulties, coordination problems, fatigue, balance issues",Medium,neurological conditions; developmental disorders; genetic factors; prematurity
Multiple Sclerosis,Disease,"difficulty walking, pain, fatigue, numbness",High,autoimmune response; genetic predisposition; environmental factors; viral infections
Cardiovascular Disorders,Disease,"syncope, dizziness, shortness of breath, palpitations, edema, fatigue, chest pain",Medium,atherosclerosis; hypertension; valvular disease; arrhythmias; congenital defects
Trichinellosis,Parasite,"fever, diarrhea, edema, myocarditis, eosinophilia, muscle pain",High,Trichinella species; undercooked pork; wild game meat; zoonotic transmission
Post-Traumatic Stress Disorder,Disorder,"nightmares, avoidance, sleep problems, irritability, emotional numbness, hypervigilance, flashbacks",High,trauma; abuse; violence; accidents; natural disasters; combat
Gestational Diabetes,Disease,"frequent urination, blurred vision, increased thirst, slow-healing sores, fatigue",Medium,hormonal changes of pregnancy; insulin resistance; obesity; family history
Insomnia,Disorder,"difficulty falling asleep, daytime fatigue, early morning awakening, difficulty staying asleep",Low,stress; anxiety; depression; caffeine; irregular schedule; medical conditions
Geriatric Disorders,Disease,"polypharmacy effects, cognitive decline, frailty, multiple comorbidities",High,aging processes; cumulative damage; multiple chronic conditions; lifestyle factors
Arrhythmogenic Right Ventricular Cardiomyopathy,Disease,"shortness of breath, fatigue, ventricular arrhythmias, sudden cardiac death, syncope, edema, palpitations",Medium,genetic mutations; desmosome protein defects; autosomal dominant inheritance
Sleep-Related Breathing Disorders,Disorder,"morning headaches, cognitive impairment, irritability, cardiovascular problems, snoring, apneas, daytime sleepiness",Medium,obesity; anatomical abnormalities; neuromuscular disorders; aging
Atrial Fibrillation,Disease,"chest pain, fatigue, irregular heartbeat, palpitations, fainting, shortness of breath",Medium,hypertension; heart disease; thyroid problems; sleep apnea; alcohol
Dermatological Disorders,Disease,"pigmentation changes, itching, texture abnormalities, skin abnormalities, hair/nail problems, rashes",Medium,immune disorders; genetic factors; infections; environmental exposures
Hepatitis A,Virus,"clay-colored stools, nausea, fatigue, abdominal pain, loss of appetite",Low,Hepatitis A virus; contaminated food/water; close contact
Mucopolysaccharidosis,Disease,"vision problems, coarse facial features, cardiac involvement, joint stiffness, hearing loss, skeletal abnormalities, developmental delay",Medium,lysosomal enzyme deficiencies; genetic mutations; autosomal recessive inheritance
Drug Allergy,Disease,"itching, rash, nausea, fever, hives",Medium,immune response to medication; previous sensitization; cross-reactivity; genetic factors
Chromosomal Disorders,Disease,"intellectual disability, organ malformations, congenital abnormalities, growth retardation, developmental delay",High,chromosomal abnormalities; genetic mutations; parental age factors
Migraine,Disease,"neck stiffness, sensitivity to light, vomiting, severe headache, nausea",Low,genetic factors; hormonal changes; stress; certain foods; environmental triggers
Somatic Symptom Disorder,Disorder,"fatigue, health anxiety, physical symptoms, excessive concern",Low,psychological factors; stress; trauma; reinforcement of symptoms
Dermatological Disorders,Disease,"rashes, hair/nail problems, pigmentation changes, itching, skin abnormalities",Medium,immune disorders; genetic factors; infections; environmental exposures
Arrhythmogenic Right Ventricular Cardiomyopathy,Disease,"palpitations, ventricular arrhythmias, syncope, sudden cardiac death, shortness of breath",Medium,genetic mutations; desmosome protein defects; autosomal dominant inheritance
Bipolar Disorder,Disorder,"elevated mood, racing thoughts, impulsive behavior, mood swings, depressed mood",High,genetic factors; brain chemistry; stress; trauma; substance abuse
Shingles,Virus,"painful rash, sensitivity to touch, itching, fatigue, fever, burning sensation",Medium,Reactivation of Varicella-zoster virus; stress; immune suppression
Vitamin B12 Deficiency,Disease,"memory problems, difficulty walking, fatigue, pale skin, tingling in hands/feet, weakness",Low,inadequate dietary intake; pernicious anemia; malabsorption; vegan diet; aging
Nutritional Disorders,Disease,"deficiency symptoms, organ dysfunction, fatigue, toxicity signs, weight changes",High,inadequate intake; malabsorption; excess consumption; metabolic disorders
Monkeypox,Virus,"fever, rash, headache, swollen lymph nodes",Low,Monkeypox virus; contact with infected animals; human-to-human transmission
Gastrointestinal Disorders,Disease,"constipation, vomiting, weight changes, nausea, abdominal pain, bloating, diarrhea",Low,infections; inflammation; motility disorders; malabsorption; tumors
Personality Disorders,Disorder,"maladaptive coping, emotional dysregulation, relationship instability, impulsivity, interpersonal difficulties, rigid personality traits, identity problems",Low,childhood experiences; genetic factors; environmental influences; attachment issues
Sudden Infant Death Syndrome,Disease,"none apparent, unexpected death, autopsy findings, no prior symptoms",High,unknown; brain abnormalities; respiratory issues; overheating; prone sleeping
Irregular Sleep-Wake Rhythm Disorder,Disorder,"irregular sleep timing, cognitive impairment, daytime sleepiness, multiple naps, mood disturbances, insomnia",Low,neurological conditions; dementia; developmental disabilities; institutionalization
Stroke,Disease,"difficulty walking, dizziness, vision problems, severe headache, confusion, trouble speaking, sudden numbness",High,ischemic stroke; hemorrhagic stroke; atherosclerosis; hypertension; atrial fibrillation
Thelaziasis,Parasite,"conjunctivitis, lacrimation, eye irritation, vision impairment, foreign body sensation",Low,Thelazia species; face fly transmission; ocular infection; animal reservoir
Osteoarthritis,Disease,"crepitus, joint pain, tenderness, stiffness, reduced range of motion, muscle weakness",Low,wear and tear; aging; joint injury; obesity; genetic factors
Disruptive Disorders,Disorder,"rule-breaking, social problems, irritability, impulsivity, defiant behavior, aggressive behavior, academic difficulties",Medium,genetic factors; environmental influences; family dynamics; neurobiological factors
Rotavirus,Virus,"abdominal pain, severe diarrhea, fever, vomiting",Medium,Rotavirus; fecal-oral transmission; contaminated surfaces
Non-24-Hour Sleep-Wake Rhythm Disorder,Disorder,"excessive sleepiness, insomnia, progressive delay in sleep timing, social impairment",Medium,blindness; neurological conditions; genetic factors; aging
Peptic Ulcer Disease,Disease,"bloating, loss of appetite, abdominal pain, nausea",Low,Helicobacter pylori infection; NSAID use; stress; smoking; alcohol
Epilepsy,Disease,"convulsions, seizures, headache, muscle pain, confusion, loss of consciousness",High,genetic factors; brain injury; infection; stroke; brain tumors
Unspecified Sleep-Wake Disorder,Disorder,"daytime impairment, symptoms present, sleep disturbance, insufficient information, diagnostic uncertainty, sleep-wake disturbance",Medium,unknown; multiple possible factors; awaiting further evaluation
Lead Poisoning,Disease,"fatigue, headache, constipation, abdominal pain, developmental delays",High,lead exposure; old paint; contaminated water; industrial exposure; lead-based products
Adolescent Disorders,Disease,"substance abuse, risk-taking behaviors, pubertal abnormalities, mood disturbances, eating disorders, behavioral changes",Medium,hormonal changes; psychological factors; peer pressure; family dynamics
Alzheimer's Disease,Disease,"mood changes, confusion, memory loss, difficulty with familiar tasks, poor judgment, disorientation, difficulty communicating",Medium,genetic factors; age; family history; head trauma; cardiovascular disease
Hepatitis B,Virus,"fever, dark urine, jaundice, loss of appetite, joint pain, abdominal pain, nausea, fatigue",Low,Hepatitis B virus; blood contact; sexual transmission; mother-to-child
Hypertension,Disease,"nosebleeds, shortness of breath, fatigue, dizziness, blurred vision, headache",Low,genetic factors; obesity; high salt intake; stress; kidney disease; hormonal disorders
Obsessive-Compulsive Disorder,Disorder,"compulsive behaviors, distress, obsessive thoughts, anxiety, interference with daily life, time-consuming rituals",Medium,genetic factors; brain chemistry; learned behavior; stress; trauma
Breathing-Related Sleep Disorders,Disorder,"breathing pauses, nocturia, dry mouth, snoring, daytime sleepiness",High,obesity; anatomical abnormalities; neuromuscular disorders; congestive heart failure
Ancylostomiasis,Parasite,"abdominal pain, fatigue, diarrhea, protein deficiency, anemia",Low,Ancylostoma duodenale; skin penetration; contaminated soil; barefoot walking
Acute Myocardial Infarction,Disease,"shortness of breath, chest pain, sweating, nausea",High,coronary artery blockage; atherosclerosis; blood clot; coronary spasm
Nightmare Disorder,Disorder,"frequent nightmares, sleep avoidance, distressing dreams, daytime distress, arousal from sleep, mood disturbances",Medium,stress; trauma; medications; substance withdrawal; medical conditions
Croup,Virus,"restlessness, fever, difficulty breathing, hoarse voice, barking cough, stridor",Low,parainfluenza virus; respiratory syncytial virus; influenza virus
Sleep-Related Disorders Not Otherwise Specified,Disorder,"various sleep-related symptoms, sleep disturbance, not fitting other categories, daytime impairment, specific symptoms vary",Medium,various; medical conditions; medications; environmental factors
Respiratory Disorders,Disease,"cough, breathing difficulties, chest pain, hypoxia",Medium,infections; allergies; obstruction; genetic factors; environmental exposures
Other Specified Sleep-Wake Disorder,Disorder,"daytime impairment, sleep-wake disturbance, context-specific, sleep disturbance, specific presentation, not fitting other categories",Low,various; medical conditions; medications; environmental factors
Wilson's Disease,Disease,"fatigue, abdominal pain, tremor, psychiatric symptoms, jaundice, speech difficulties",High,genetic mutation; copper accumulation; ATP7B gene defect; autosomal recessive inheritance
Endocrine Disorders,Disease,"metabolic disturbances, organ dysfunction, hormonal imbalances, growth abnormalities, reproductive problems",High,glandular dysfunction; genetic mutations; autoimmune disorders; tumors
Ancylostomiasis,Parasite,"abdominal pain, edema, anemia, diarrhea, fatigue, protein deficiency, pica",Low,Ancylostoma duodenale; skin penetration; contaminated soil; barefoot walking
Trauma-Related Disorders,Disorder,"dissociation, avoidance, emotional numbness, hyperarousal, intrusive memories, concentration problems",High,trauma exposure; abuse; violence; accidents; natural disasters
Thelaziasis,Parasite,"lacrimation, foreign body sensation, eye irritation, vision impairment",Low,Thelazia species; face fly transmission; ocular infection; animal reservoir
Attention Deficit Hyperactivity Disorder,Disorder,"impulsivity, forgetfulness, disorganization, interrupting others, hyperactivity, inattention",Low,genetic factors; brain chemistry; prenatal exposure; low birth weight; environmental factors
Gynecological Disorders,Disease,"pelvic pain, infertility, abnormal bleeding, discharge, dysmenorrhea, dyspareunia",Low,infections; hormonal imbalances; structural abnormalities; neoplasms
Fascioliasis,Parasite,"fatigue, fever, vomiting, liver enlargement, abdominal pain",Low,Fasciola hepatica; contaminated watercress; raw vegetables; zoonotic transmission
Gynecological Disorders,Disease,"hormonal symptoms, dyspareunia, infertility, pelvic pain, abnormal bleeding, discharge, dysmenorrhea",Low,infections; hormonal imbalances; structural abnormalities; neoplasms
Appendicitis,Disease,"nausea, fever, vomiting, constipation, abdominal pain, diarrhea",High,appendix obstruction; infection; fecal matter; foreign bodies
Other Specified Hypersomnolence Disorder,Disorder,"context-specific, not meeting full criteria, excessive sleepiness, sleep inertia, prolonged sleep, specific circumstances",Medium,medical conditions; medications; environmental factors; circadian factors
Periodontal Disease,Disease,"bad breath, swollen gums, loose teeth, bleeding gums, receding gums",Medium,poor oral hygiene; plaque buildup; smoking; diabetes; medications; genetic factors
Neurocognitive Disorders,Disorder,"visuospatial difficulties, language problems, memory impairment, cognitive decline, personality changes, executive dysfunction",Medium,Alzheimer's disease; vascular disease; Lewy body disease; frontotemporal degeneration
Teratogenic Disorders,Disease,"intellectual disability, organ malformations, functional impairments, developmental defects, congenital abnormalities",Medium,prenatal exposures; teratogenic agents; maternal factors; environmental toxins
Impulse Control Disorders,Disorder,"impulsive behaviors, pleasure during act, urges, loss of control, regret afterward",Medium,genetic factors; brain chemistry; stress; trauma; substance use
Tinnitus,Disease,"hearing loss, ringing in ears, sleep disturbance, hissing sounds, anxiety, buzzing sounds",Medium,age-related hearing loss; ear wax buildup; ear infections; loud noise exposure; medications
Attention Deficit Hyperactivity Disorder,Disorder,"inattention, forgetfulness, interrupting others, fidgeting, impulsivity, hyperactivity",Low,genetic factors; brain chemistry; prenatal exposure; low birth weight; environmental factors
Unspecified Hypersomnolence Disorder,Disorder,"insufficient information, symptoms present, diagnostic uncertainty, excessive sleepiness",Low,unknown; multiple possible factors; awaiting further evaluation
Lysosomal Storage Diseases,Disease,"vision/hearing loss, neurological deterioration, cardiac involvement, developmental delay, organomegaly, skeletal abnormalities",Medium,lysosomal enzyme deficiencies; genetic mutations; autosomal recessive inheritance
Psychological Factors Affecting Medical Condition,Disorder,"excessive symptoms, non-adherence, interpersonal issues, worsening of medical condition, behavioral problems, emotional distress",Medium,stress; depression; anxiety; coping difficulties; relationship problems
Dementia,Disease,"disorientation, difficulty with familiar tasks, poor judgment, confusion, mood changes, memory loss",High,Alzheimer's disease; vascular dementia; Lewy body dementia; frontotemporal dementia
Pertussis,Bacteria,"severe coughing fits, whooping sound, fever, runny nose, vomiting after coughing, fatigue",Medium,Bordetella pertussis; respiratory droplets; close contact
Bipolar Disorder,Disorder,"decreased need for sleep, impulsive behavior, depressed mood, elevated mood, mood swings, increased energy, racing thoughts",Medium,genetic factors; brain chemistry; stress; trauma; substance abuse
Pulmonary Arterial Hypertension,Disease,"dizziness, edema, syncope, shortness of breath, chest pain, fatigue",High,unknown primary; connective tissue diseases; congenital heart disease; liver disease
Polymyalgia Rheumatica,Disease,"hip pain, fever, shoulder pain, stiffness, temporal arteritis",Medium,unknown; autoimmune response; genetic factors; environmental triggers
Hookworm Infection,Parasite,"anemia, diarrhea, edema, fatigue, abdominal pain, protein deficiency",Low,Ancylostoma duodenale; Necator americanus; skin penetration; contaminated soil
Grief Reactions,Disorder,"sadness, yearning, emotional pain, guilt, anxiety, anger",Low,loss of loved one; significant life changes; traumatic events
Diphyllobothriasis,Parasite,"neurological symptoms, abdominal pain, diarrhea, fatigue",Low,Diphyllobothrium latum; undercooked fish; contaminated water; poor sanitation
Pressure Ulcers,Disease,"pain, drainage, odor, skin breakdown, red skin",Medium,immobility; poor nutrition; moisture; friction; shear forces
Babesiosis,Parasite,"headache, chills, muscle pain, hemolytic anemia, fatigue, fever",Low,Babesia parasites; tick bites; blood transfusion; congenital transmission
Cholera,Bacteria,"muscle cramps, dehydration, severe diarrhea, vomiting, low blood pressure, dry mouth",High,Vibrio cholerae; contaminated water; poor sanitation; raw shellfish
Inflammatory Bowel Disease,Disease,"joint pain, diarrhea, weight loss, abdominal pain, fatigue, fever",Medium,immune system dysfunction; genetic factors; environmental factors; gut microbiome
Gout,Disease,"warmth, limited range of motion, swelling, redness, severe joint pain, tenderness",Medium,high uric acid levels; diet; genetics; medications; obesity
Nutritional Disorders,Disease,"toxicity signs, fatigue, deficiency symptoms, weight changes, organ dysfunction",Low,inadequate intake; malabsorption; excess consumption; metabolic disorders
Food Allergy,Disease,"hives, swelling, vomiting, nausea, itching",Medium,immune response to food proteins; genetic predisposition; cross-contamination; hidden allergens
Dissociative Disorders,Disorder,"depersonalization, memory gaps, identity alteration, dissociation, fugue states, identity confusion",Medium,severe trauma; stress; abuse; dissociative coping mechanisms
Atrial Fibrillation,Disease,"fainting, palpitations, irregular heartbeat, fatigue",Medium,hypertension; heart disease; thyroid problems; sleep apnea; alcohol
Gnathostomiasis,Parasite,"migratory swelling, fever, eosinophilia, rash",Low,Gnathostoma species; undercooked fish/frogs; contaminated water; zoonotic transmission
Obsessive-Compulsive Disorder,Disorder,"compulsive behaviors, distress, obsessive thoughts, anxiety",Low,genetic factors; brain chemistry; learned behavior; stress; trauma
Autosomal Dominant Polycystic Kidney Disease,Disease,"hematuria, cardiac valve problems, hypertension, flank pain",Medium,genetic mutations; PKD1 or PKD2 gene defects; autosomal dominant inheritance
Peptic Ulcer Disease,Disease,"bloating, abdominal pain, vomiting, nausea",Low,Helicobacter pylori infection; NSAID use; stress; smoking; alcohol
Erectile Dysfunction,Disease,"reduced libido, difficulty achieving erection, difficulty maintaining erection",Medium,vascular disease; diabetes; hypertension; medications; psychological factors; hormonal imbalance
Peptic Ulcer Disease,Disease,"dark stools, abdominal pain, vomiting, nausea, bloating, weight loss",Low,Helicobacter pylori infection; NSAID use; stress; smoking; alcohol
Advanced Sleep Phase Disorder,Disorder,"social impairment, early wake time, difficulty staying awake in evening, morning insomnia, early sleep onset",Medium,genetic factors; circadian rhythm abnormalities; aging
Unspecified Hypersomnolence Disorder,Disorder,"insufficient information, prolonged sleep, excessive sleepiness, sleep inertia, diagnostic uncertainty",Low,unknown; multiple possible factors; awaiting further evaluation
Dissociative Disorders,Disorder,"identity confusion, identity alteration, dissociation, memory gaps, depersonalization",Medium,severe trauma; stress; abuse; dissociative coping mechanisms
Hepatitis A,Virus,"nausea, clay-colored stools, jaundice, loss of appetite, joint pain, abdominal pain, fever, fatigue",Low,Hepatitis A virus; contaminated food/water; close contact
Carbon Monoxide Poisoning,Disease,"headache, chest pain, nausea, dizziness, confusion, weakness, loss of consciousness",High,inhalation of carbon monoxide; faulty heating systems; car exhaust; generator fumes
Multiple Sclerosis,Disease,"difficulty walking, fatigue, pain, bladder problems, cognitive changes, numbness",Medium,autoimmune response; genetic predisposition; environmental factors; viral infections
Anxiety Disorders,Disorder,"excessive worry, fear, avoidance behaviors, nervousness, cognitive distortions",Medium,genetic factors; brain chemistry; stress; trauma; medical conditions
Glioblastoma,Disease,"seizures, nausea, cognitive changes, vision changes, vomiting, motor deficits, headache",High,glial cell malignancy; genetic mutations; radiation exposure; unknown factors
Neurodevelopmental Disorders,Disorder,"developmental delays, cognitive impairments, communication difficulties, behavioral problems",Medium,genetic factors; prenatal exposures; perinatal complications; environmental factors
Meningitis,Bacteria,"severe headache, seizures, vomiting, fever, stiff neck, confusion",High,Neisseria meningitidis; Streptococcus pneumoniae; Haemophilus influenzae; viral infection
Dental Caries,Disease,"swelling, bad breath, tooth pain, fever, difficulty chewing, sensitivity to hot/cold, visible holes in teeth",Medium,bacterial infection; sugar consumption; poor oral hygiene; dry mouth; acidic foods
