Disease Name,Category,Symptoms,Severity,Causes
Leprosy,Bacteria,guillain-barre syndrome; respiratory alkalosis; anoplocephaliasis; numbness; muscle weakness; chronic nasal congestion; skin lesions; enlarged nerves,Medium,Mycobacterium leprae; Prolonged close contact; Armadillo transmission
Tourette Syndrome,Disorder,involuntary movements; sprains; obsessive behaviors; vocal tics; motor tics; involuntary sounds,Medium,Genetic factors; Brain chemistry; Environmental factors; Complications during pregnancy; Infections
Obsessive-Compulsive Disorder,Disorder,time-consuming rituals; anxiety; distress; sweating; compulsions; obsessions,Medium,Genetic factors; Brain chemistry; Learning experiences; Stress; Trauma; Infections
Gonorrhea,Bacteria,rectal pain; pelvic pain; strains; testicular pain; painful urination; sore throat; aneurysm; amebiasis; abnormal discharge,Medium,Neisseria gonorrhoeae; Sexual transmission; Mother-to-child during birth
Eating Disorders,Disorder,obsession with food; adrenal insufficiency; tendinitis; binge eating; fear of gaining weight; purging; restrictive eating; body image distortion,High,Genetic factors; Psychological factors; Cultural pressures; Trauma; Low self-esteem; Perfectionism
E. coli Infection,Bacteria,frequent urination; hair loss; bloody diarrhea; abdominal pain; fever; fatigue; vomiting,High,E. coli bacteria; Contaminated food/water; Undercooked meat; Poor sanitation
HIV/AIDS,Virus,enterobiasis; persistent cough; stilesia; fever; weight loss; fatigue; night sweats; swollen lymph nodes,High,HIV virus infection; Unprotected sex; Shared needles; Mother-to-child transmission
Strep Throat,Bacteria,swollen lymph nodes; rash; sore throat; pleural effusion; fever; difficulty swallowing; memory problems,Medium,Streptococcus bacteria; Direct contact; Airborne droplets
Coronary Artery Disease,Disease,chest pain; dizziness; shortness of breath; fatigue; migraine; nausea,High,Atherosclerosis; High cholesterol; Hypertension; Smoking; Diabetes; Family history
Anthrax,Bacteria,chest pain; vomiting; fatigue; fever; skin ulcers; shortness of breath; weakness,High,Bacillus anthracis; Contact with infected animals; Biological weapon
Rotavirus,Virus,dehydration; severe diarrhea; restrictive cardiomyopathy; ascites; vomiting; fever,High,Rotavirus infection; Fecal-oral transmission; Contaminated surfaces
Anthrax,Bacteria,nausea; skin ulcers; fatigue; fever; shortness of breath; delirium; chest pain; vomiting,High,Bacillus anthracis; Contact with infected animals; Biological weapon
Mumps,Virus,fatigue; loss of appetite; swollen salivary glands; headache; muscle pain; nosebleeds; ALS,Medium,Mumps virus; Airborne transmission; Saliva contact
Norovirus,Virus,dipylidiasis; diarrhea; bruising easily; nausea; fever; myasthenia gravis; vomiting,Medium,Norovirus infection; Contaminated food/water; Person-to-person contact
Syphilis,Bacteria,neurological symptoms; hair loss; fatigue; fever; respiratory acidosis; joint pain; chancre sore,High,Treponema pallidum; Sexual transmission; Congenital transmission
Leprosy,Bacteria,multiceps; hemophilia; enlarged nerves; dizziness; muscle weakness; chronic nasal congestion; skin lesions,Medium,Mycobacterium leprae; Prolonged close contact; Armadillo transmission
Parkinson's Disease,Disease,toxoplasmosis; anxiety; postural instability; difficulty walking; osteomyelitis; tremor; stiffness; bradykinesia,High,Genetic factors; Age; Environmental toxins; Head trauma; Vascular disease
Dyslexia,Disorder,slow reading speed; letter reversal; weight gain; reading difficulties; spelling problems; poor comprehension,Low,Genetic factors; Brain structure differences; Prenatal exposure; Early childhood experiences
Parkinson's Disease,Disease,tremor; speech changes; difficulty walking; bradykinesia; taeniasis; stiffness; diabetes insipidus; postural instability,High,Genetic factors; Age; Environmental toxins; Head trauma; Vascular disease
Lyme Disease,Bacteria,nosebleeds; fever; swollen lymph nodes; joint pain; fatigue; bulls-eye rash; muscle pain; headache,Medium,Borrelia burgdorferi; Tick bite; Deer tick transmission
Obsessive-Compulsive Disorder,Disorder,bertiella; time-consuming rituals; distress; interference with daily life; constipation; anxiety; compulsions,Medium,Genetic factors; Brain chemistry; Learning experiences; Stress; Trauma; Infections
Tetanus,Bacteria,fever; muscle spasms; prosthenorchis; nausea; lockjaw; muscle stiffness,High,Clostridium tetani; Wound contamination; Soil exposure; Rust exposure
Irritable Bowel Syndrome,Disorder,bloating; constipation; mucus in stool; diarrhea; gas; metrorrhagia,Medium,Gut-brain axis dysfunction; Infections; Food intolerances; Stress; Genetic factors; Gut microbiota changes
Chronic Obstructive Pulmonary Disease,Disease,moniezia; frequent respiratory infections; chronic cough; chest tightness; wheezing; thrombosis; shortness of breath,High,Smoking; Air pollution; Genetic factors; Occupational exposure; Respiratory infections
Syphilis,Bacteria,neurological symptoms; joint pain; hirsutism; chancre sore; infertility; fever; hair loss; fatigue,High,Treponema pallidum; Sexual transmission; Congenital transmission
Autism Spectrum Disorder,Disorder,restricted interests; social communication difficulties; delayed language development; sensory sensitivities; leishmaniasis; repetitive behaviors,Medium,Genetic factors; Environmental factors; Prenatal exposure; Complications during pregnancy; Advanced parental age
Asthma,Disease,chest tightness; frequent urination; abdominal pain; hypoglycemia; shortness of breath; coughing; wheezing; difficulty sleeping; fatigue,Medium,Genetic factors; Allergens; Air pollution; Respiratory infections; Exercise; Stress
Common Cold,Virus,cough; mild fever; sore throat; fatigue; sneezing; allergies; runny nose,Low,Rhinovirus infection; Multiple viral strains; Airborne or contact transmission
Post-Traumatic Stress Disorder,Disorder,emotional numbness; avoidance; vision changes; irritability; flashbacks; hypervigilance; purpura,High,Traumatic events; Severe stress; Genetic factors; Brain chemistry changes; Lack of social support
Diabetes Type 1,Disease,fatigue; increased thirst; frequent urination; slow-healing sores; frequent infections; extreme hunger; hyperthyroidism,High,Autoimmune destruction of insulin-producing cells; Genetic predisposition; Environmental triggers
Lyme Disease,Bacteria,swollen lymph nodes; fatigue; bulls-eye rash; joint pain; taste changes; hemothorax; muscle pain; fever,Medium,Borrelia burgdorferi; Tick bite; Deer tick transmission
Hypertension,Disease,blurred vision; chest pain; goiter; shortness of breath; multiceps; headache,Medium,Genetic factors; Obesity; High salt intake; Stress; Lack of exercise; Smoking
Urinary Tract Infection,Bacteria,strong urine odor; pancreatitis; fever; cloudy urine; burning sensation; pelvic pain; frequent urination; back pain,Medium,E. coli bacteria; Poor hygiene; Sexual activity; Catheter use
Salmonella,Bacteria,headache; fever; difficulty concentrating; vomiting; nausea; diarrhea; abdominal cramps,Medium,Salmonella bacteria; Contaminated food; Undercooked poultry/eggs; Poor food handling
Attention Deficit Hyperactivity Disorder,Disorder,adrenal insufficiency; impulsivity; inattention; hyperactivity; difficulty following instructions; growth hormone deficiency; disorganization; dizziness,Medium,Genetic factors; Brain structure differences; Environmental factors; Prenatal exposure to toxins; Low birth weight
Salmonella,Bacteria,vomiting; ALS; diarrhea; nausea; abdominal cramps; headache; fever,Medium,Salmonella bacteria; Contaminated food; Undercooked poultry/eggs; Poor food handling
Measles,Virus,hemorrhoids; runny nose; hyperthyroidism; rash; cough; white spots in mouth,High,Measles virus; Airborne transmission; Unvaccinated exposure
Zika Virus,Virus,muscle pain; nephrotic syndrome; fever; erectile dysfunction; rash; joint pain; blood in urine,Medium,Zika virus; Mosquito transmission; Sexual transmission
Osteoarthritis,Disease,SIADH; swelling in legs; muscle weakness; joint stiffness; joint swelling; joint pain; reduced range of motion; crepitus; back pain,Medium,Age; Joint injury; Obesity; Genetic factors; Repetitive joint use
Ebola,Virus,psoriasis; severe headache; weakness; fever; vomiting; muscle pain; purpura,High,Ebola virus; Contact with infected body fluids; Animal transmission
Influenza,Virus,fever; fatigue; headache; nephrotic syndrome; body aches; cough,Medium,Influenza virus infection; Seasonal transmission; Airborne droplets
COVID-19,Virus,shortness of breath; body aches; loss of taste/smell; meningitis; fatigue; cough; fever,High,SARS-CoV-2 virus; Respiratory transmission; Close contact
Chickenpox,Virus,hydrocele; fatigue; loss of appetite; blisters; fever; insomnia; rash,Medium,Varicella-zoster virus; Airborne transmission; Direct contact
Coronary Artery Disease,Disease,nausea; chest pain; dizziness; sweating; shortness of breath; fatigue; aneurysm,High,Atherosclerosis; High cholesterol; Hypertension; Smoking; Diabetes; Family history
Measles,Virus,runny nose; acid-base disorders; fever; rash; red eyes; white spots in mouth,High,Measles virus; Airborne transmission; Unvaccinated exposure
Fibromyalgia,Disorder,irritable bowel syndrome; sleep disturbances; leukopenia; headaches; widespread pain; fatigue; cognitive difficulties; meniscus tear,Medium,Genetic factors; Infections; Physical trauma; Stress; Abnormal pain processing; Hormonal changes
Gonorrhea,Bacteria,pelvic pain; nosebleeds; rectal pain; testicular pain; sore throat; painful urination; abnormal discharge; joint swelling,Medium,Neisseria gonorrhoeae; Sexual transmission; Mother-to-child during birth
E. coli Infection,Bacteria,bloody diarrhea; severe diarrhea; fatigue; abdominal pain; vomiting; macracanthorhynchus,High,E. coli bacteria; Contaminated food/water; Undercooked meat; Poor sanitation
Tourette Syndrome,Disorder,attention difficulties; involuntary sounds; vocal tics; obsessive behaviors; oligarthrus; motor tics,Medium,Genetic factors; Brain chemistry; Environmental factors; Complications during pregnancy; Infections
Chronic Obstructive Pulmonary Disease,Disease,fatigue; shortness of breath; spirometra; frequent respiratory infections; chest tightness; chronic cough; growth hormone deficiency,High,Smoking; Air pollution; Genetic factors; Occupational exposure; Respiratory infections
Autism Spectrum Disorder,Disorder,social communication difficulties; sensory sensitivities; stress fractures; restricted interests; delayed language development; repetitive behaviors,Medium,Genetic factors; Environmental factors; Prenatal exposure; Complications during pregnancy; Advanced parental age
Zika Virus,Virus,hearing loss; muscle pain; joint pain; fever; rash; conjunctivitis,Medium,Zika virus; Mosquito transmission; Sexual transmission
Hepatitis B,Virus,loss of appetite; abdominal pain; jaundice; nausea; dark urine; varicose veins; diphyllobothriasis; fatigue; loss of libido,High,Hepatitis B virus; Blood contact; Sexual transmission; Mother-to-child
Osteoarthritis,Disease,reduced range of motion; crepitus; stress fractures; joint swelling; acromegaly; joint stiffness; joint pain; muscle weakness,Medium,Age; Joint injury; Obesity; Genetic factors; Repetitive joint use
Hepatitis C,Virus,abdominal pain; joint pain; hemorrhoids; jaundice; loss of appetite; nausea; fatigue,Medium,Hepatitis C virus; Blood contact; Shared needles; Healthcare exposure
Pertussis,Bacteria,vomiting after cough; runny nose; fever; fatigue; whooping sound; dementia; severe cough,High,Bordetella pertussis; Airborne transmission; Close contact
Chlamydia,Bacteria,shock; sore throat; rectal pain; painful urination; stress fractures; testicular pain; pelvic pain,Medium,Chlamydia trachomatis; Sexual transmission; Mother-to-child during birth
Anxiety Disorder,Disease,irritability; difficulty concentrating; coma; muscle tension; fatigue; excessive worry; restlessness,Medium,Genetic factors; Brain chemistry; Stress; Trauma; Medical conditions; Substance abuse
Zika Virus,Virus,muscle pain; conjunctivitis; fever; joint pain; headache; hot flashes; rash,Medium,Zika virus; Mosquito transmission; Sexual transmission
Norovirus,Virus,nausea; vomiting; stomach cramps; fever; diarrhea; brugada syndrome,Medium,Norovirus infection; Contaminated food/water; Person-to-person contact
Botulism,Bacteria,muscle weakness; ARDS; difficulty swallowing; slurred speech; hemothorax; drooping eyelids; blurred vision,High,Clostridium botulinum toxin; Contaminated food; Wound infection; Infant intestinal infection
Gonorrhea,Bacteria,rectal pain; testicular pain; painful urination; oncicola; pelvic pain; sore throat; abnormal discharge,Medium,Neisseria gonorrhoeae; Sexual transmission; Mother-to-child during birth
Hepatitis C,Virus,nausea; jaundice; fatigue; joint pain; sparganosis; loss of appetite; abdominal pain,Medium,Hepatitis C virus; Blood contact; Shared needles; Healthcare exposure
Dengue,Virus,high fever; filariasis; bleeding; severe headache; transplant; acromegaly; rash; muscle pain; joint pain,High,Dengue virus; Mosquito transmission; Aedes mosquito bite
Osteoarthritis,Disease,joint stiffness; cystitis; joint pain; joint swelling; muscle weakness; crepitus; reduced range of motion,Medium,Age; Joint injury; Obesity; Genetic factors; Repetitive joint use
Post-Traumatic Stress Disorder,Disorder,emotional numbness; flashbacks; trypanosomiasis; irritability; hypervigilance; avoidance,High,Traumatic events; Severe stress; Genetic factors; Brain chemistry changes; Lack of social support
Mumps,Virus,fatigue; psoriasis; muscle pain; loss of appetite; headache; gallstones; swollen salivary glands; fever,Medium,Mumps virus; Airborne transmission; Saliva contact
Attention Deficit Hyperactivity Disorder,Disorder,inattention; ACL tear; disorganization; hemothorax; impulsivity; forgetfulness; venous insufficiency; difficulty following instructions; hyperactivity,Medium,Genetic factors; Brain structure differences; Environmental factors; Prenatal exposure to toxins; Low birth weight
Rotavirus,Virus,vomiting; severe diarrhea; metrorrhagia; memory problems; abdominal pain; fever; skrjabinia; dehydration,High,Rotavirus infection; Fecal-oral transmission; Contaminated surfaces
Obsessive-Compulsive Disorder,Disorder,anxiety; interference with daily life; leukocytosis; compulsions; obsessions; time-consuming rituals; distress,Medium,Genetic factors; Brain chemistry; Learning experiences; Stress; Trauma; Infections
Lyme Disease,Bacteria,muscle pain; dizziness; headache; fever; anoplocephaliasis; fatigue; swollen lymph nodes,Medium,Borrelia burgdorferi; Tick bite; Deer tick transmission
Ebola,Virus,muscle pain; fever; echinococcus; hemorrhage; diarrhea; vomiting; severe headache; weakness; meniscus tear,High,Ebola virus; Contact with infected body fluids; Animal transmission
Leprosy,Bacteria,psoriasis; chronic nasal congestion; petechiae; skin lesions; metagonimiasis; muscle weakness; eye problems,Medium,Mycobacterium leprae; Prolonged close contact; Armadillo transmission
Pneumonia,Bacteria,shortness of breath; gout; cough; nausea; fatigue; linstowia; chest pain; meningitis; fever; chills,High,"Bacterial infection (Streptococcus, etc.); Viral infection; Fungal infection; Aspiration"
Anthrax,Bacteria,fever; vomiting; chest pain; nausea; skin ulcers; dysmenorrhea; fatigue,High,Bacillus anthracis; Contact with infected animals; Biological weapon
Coronary Artery Disease,Disease,blood in urine; dizziness; shortness of breath; fatigue; chest pain; sweating,High,Atherosclerosis; High cholesterol; Hypertension; Smoking; Diabetes; Family history
Parkinson's Disease,Disease,tremor; stiffness; speech changes; postural instability; difficulty walking; headache,High,Genetic factors; Age; Environmental toxins; Head trauma; Vascular disease
Botulism,Bacteria,slurred speech; drooping eyelids; difficulty swallowing; double vision; muscle weakness; brain abscess; tremors; acromegaly,High,Clostridium botulinum toxin; Contaminated food; Wound infection; Infant intestinal infection
Norovirus,Virus,spinal cord injury; vomiting; headache; stomach cramps; nausea; fever,Medium,Norovirus infection; Contaminated food/water; Person-to-person contact
Anthrax,Bacteria,shortness of breath; stilesia; vomiting; nausea; leukocytosis; chest pain; skin ulcers; fever; fatigue; coma,High,Bacillus anthracis; Contact with infected animals; Biological weapon
